Name,Condition,Target Character,Block Count,Time Taken
Nathan,static,p,5,2181.53
Nathan,static,r,5,2203.58
Nathan,static,e,5,1237.32
Nathan,static,w,5,1155.45
Nathan,static,i,5,1304.91
Nathan,static,t,5,1814.83
Nathan,static,q,4,1623.30
Nathan,static,t,4,1581.88
Nathan,static,w,4,1192.87
Nathan,static,o,4,1109.83
Nathan,static,y,4,3225.44
Nathan,static,p,4,2174.81
Nathan,static,q,3,1623.22
Nathan,static,u,3,4768.86
Nathan,static,p,3,1237.14
Nathan,static,t,3,1882.33
Nathan,static,r,3,1882.55
Nathan,static,w,3,997.21
Nathan,static,t,2,2877.73
Nathan,static,e,2,1485.50
Nathan,static,u,2,3614.36
Nathan,static,w,2,1545.09
Nathan,static,p,2,3922.42
Nathan,static,q,2,1890.27
Nathan,static,i,1,1189.94
Nathan,static,e,1,1530.74
Nathan,static,t,1,1957.55
Nathan,static,w,1,1573.89
Nathan,static,q,1,2188.84
Nathan,static,p,1,1943.56
Nathan,static,p,0,907.09
Nathan,static,r,0,3277.91
Nathan,static,y,0,1379.38
Nathan,static,o,0,1545.51
Nathan,static,t,0,1808.15
Nathan,static,w,0,1095.15
